Name,URL,Longitude,Latitude,Country
Tauschwitz Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=4,11.415460,50.631579,DE
Knobelsdorf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=5,11.371171,50.606856,DE
Engerda Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=6,11.424450,50.792413,DE
Scheibentalberg Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=10,11.974926,50.991556,DE
Wache Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=26,13.785566,50.755096,DE
Schauhübel Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=27,13.807025,50.748051,DE
Glauchberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=28,13.781469,50.798625,DE
Ascheloh Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=46,8.406558,52.047450,DE
Hoher Meissner Uengsterode Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=50,9.846333,51.245639,DE
Hoher Meissner Vockerode Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=51,9.873877,51.209706,DE
Eisenberg Westhang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=59,8.619886,51.015847,DE
Börry am Hellberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=66,9.458199,52.046717,DE
Hohe Nordosthang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=71,9.457835,51.955225,DE
Königszinne Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=72,9.525919,51.977955,DE
Pegestorf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=74,9.491286,51.940058,DE
Mellbeck Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=79,7.186389,51.311667,DE
Dielmissen - Ith Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=80,9.626201,51.981219,DE
Brunsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=82,9.349880,51.747399,DE
Mehring Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=83,6.837562,49.781271,DE
Maring-Noviand Startplatz Südost Kaisereiche,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=85,6.990278,49.943889,DE
Serrig und Hamm Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=86,6.615551,49.569001,DE
Neumagen-Dhron Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=87,6.887694,49.877444,DE
Stachelhardt Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=95,7.376745,50.780884,DE
Pünderich Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=96,7.126537,50.047078,DE
Zeltingen-Rachtig Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=97,6.993141,49.961546,DE
Langer Berg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=98,7.713690,49.763831,DE
Bohnstein Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=101,8.350725,50.883678,DE
Wixberg Startplatz S-SO,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=116,7.666667,51.318611,DE
Nordhelle Startplatz (Drachen),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=117,7.754834,51.150214,DE
Skihang Ebbefeld/Nordhelle Startplatz Gleitschirm,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=120,7.755146,51.151167,DE
Homberg-Züschen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=127,8.541208,51.134618,DE
Elpe-Steinmarkskopf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=130,8.432071,51.269387,DE
Großheubach / Busigberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=132,9.207230,49.733980,DE
Bürgstadt / Wannenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=133,9.288462,49.721156,DE
Erlau Ost-Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=134,8.821911,49.742814,DE
Momart Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=137,9.038656,49.726497,DE
Gösberg Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=140,6.816201,49.445696,DE
Sinnhöll Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=142,7.541600,49.622385,DE
Schriesheim Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=144,8.678824,49.464505,DE
Stauf Startplatz Südost,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=146,8.027519,49.549490,DE
Nieder-Liebersbach Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=147,8.710556,49.595556,DE
Klüsserath Startplatz 1 Südwest,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=149,6.871165,49.847669,DE
Longuich Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=150,6.780818,49.811944,DE
Schnaithalde Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=157,9.057594,48.296481,DE
Wanne Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=160,9.227456,48.446053,DE
Skiliftgelände Hausen a.d.L. Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=164,9.187961,48.298926,DE
Messelberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=167,9.838943,48.679542,DE
Duchroth Nord Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=170,7.722417,49.775468,DE
Rabenfelsen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=173,9.796285,48.613796,DE
Wiesensteig Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=174,9.616395,48.570523,DE
Braunenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=175,10.137307,48.856794,DE
Ipf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=176,10.357071,48.870480,DE
Eberfirst Startplatz 1 (Rampe für HG),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=180,9.322940,49.187948,DE
Einkorn Startplatz Süd-West,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=182,9.775986,49.089831,DE
Geddelsbacher Hang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=186,9.495447,49.151826,DE
Adolzfurt Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=188,9.471306,49.160552,DE
Loffenau Weststart Teufelsmühle Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=191,8.407178,48.756675,DE
Schreckhof (Westhang) Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=192,9.104726,49.362490,DE
Schreckhof Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=193,9.107537,49.360534,DE
Hohenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=194,8.001901,49.201141,DE
Mulfingen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=197,9.812346,49.334232,DE
Oberried Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=198,7.954444,47.920339,DE
Steingrubenberg Südwestseite Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=202,8.039588,48.025036,DE
Teufelsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=205,9.043769,49.003020,DE
Türkheim Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=206,9.805639,48.590472,DE
Pfulb Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=207,9.538471,48.528322,DE
Filzberg Übungsgelände,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=210,10.935259,51.335063,DE
Dackstal Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=211,10.924530,51.360741,DE
Feuerkuppe Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=218,10.749014,51.395369,DE
Am Schützenkreuz Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=226,8.743056,49.545833,DE
Willingen-Ettelsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=227,8.599387,51.282018,DE
Wachtelberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=231,13.667336,50.981182,DE
Thalhäusl Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=238,11.980161,47.759074,DE
Auf dem Harsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=239,10.372617,51.074464,DE
Galgenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=240,7.678776,47.970965,DE
Raumbach Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=242,7.658372,49.726754,DE
Pensenwiesen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=247,11.659853,49.937558,DE
Neubürg Startplatz Nordwest,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=248,11.401678,49.891963,DE
Windberg Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=250,12.742682,48.941389,DE
